z,T_B1,T_B2,S_B1,S_B2
-40,14.3323,23.4116,33.2648,36.1776
-37.8947368421053,14.3323,23.4116,33.2648,36.1776
-35.7894736842105,14.3323,23.4116,33.2648,36.1776
-33.6842105263158,14.4492473684211,23.4116,33.2793197368421,36.1776
-31.5789473684211,14.7533105263158,23.4116,33.3170710526316,36.1776
-29.4736842105263,15.1275421052632,23.4273140350877,33.3635342105263,36.1744596491228
-27.3684210526316,15.5017736842105,23.5058842105263,33.4099973684211,36.1587578947368
-25.2631578947368,15.8760052631579,23.6315964912281,33.4564605263158,36.1336350877193
-23.1578947368421,16.2502368421053,23.7573087719298,33.5029236842105,36.1085122807018
-21.0526315789474,16.6244684210526,23.8830210526316,33.5493868421053,36.0833894736842
-18.9473684210526,16.9987,24.0087333333333,33.59585,36.0582666666667
-16.8421052631579,17.3729315789474,24.1344456140351,33.6423131578947,36.0331438596491
-14.7368421052632,17.7586605263158,24.2553337719298,33.6716644736842,36.0041228070175
-12.6315789473684,18.2363684210526,24.3376289473684,33.5641210526316,35.9439157894737
-10.5263157894737,18.7945578947368,24.3861552631579,33.3367947368421,35.8564210526316
-8.42105263157895,19.3527473684211,24.4346815789474,33.1094684210526,35.7689263157895
-6.31578947368421,19.9109368421053,24.4832078947368,32.8821421052632,35.6814315789474
-4.21052631578947,20.3644657894737,24.5226355263158,32.6974394736842,35.6103421052632
-2.10526315789474,20.5389,24.5378,32.6264,35.583
0,20.5389,24.5378,32.6264,35.583
